gene_id	ERR458494_1	ERR458493_1	ERR458493_2	ERR458494_2
YCL025C	368	404	404	368
YCL023C	0	0	0	0
YCL024W	19	20	20	19
YCL022C	4	3	3	4
tE(UUC)C	0	0	0	0
YCL021W-A	7	4	4	7
YCL019W	1	0	0	1
YCL020W	1	0	0	1
tL(CAA)C	0	0	0	0
YCL018W	0	0	0	0
YCL017C	142	124	124	142
YCL016C	24	24	24	24
YCL014W	24	22	22	24
YCL012C	25	24	24	25
YCL011C	308	274	274	308
YCL010C	67	70	70	67
YCL009C	664	730	730	664
YCL008C	111	134	134	111
YCL007C	108	118	118	108
YCL005W-A	173	187	187	173
snR43	4	10	10	4
YCL005W	51	68	68	51
YCL004W	20	20	20	20
YCL002C	35	28	28	35
YCL001W	51	69	69	51
YCL001W-A	1	1	1	1
YCL001W-B	2	0	0	2
YCR001W	3	2	2	3
YCR002C	73	73	73	73
YCR003W	33	30	30	33
YCR004C	269	292	292	269
YCR005C	48	67	67	48
YCR006C	3	5	5	3
tP(AGG)C	1	0	0	1
YCR007C	16	21	21	16
tN(GUU)C	0	0	0	0
YCR008W	102	82	82	102
YCR009C	153	141	141	153
YCR010C	13	10	10	13
YCR011C	164	201	201	164
YCR012W	12216	12415	12415	12216
YCR013C	7702	7848	7848	7702
YCR014C	21	19	19	21
YCR015C	7	15	15	7
snR33	11	10	10	11
tG(GCC)C	0	0	0	0
YCR016W	33	21	21	33
YCR017C	251	258	258	251
YCR018C	20	21	21	20
tM(CAU)C	0	0	0	0
tK(CUU)C	0	0	0	0
YCR018C-A	0	0	0	0
YCR019W	24	20	20	24
YCR020C	3	6	6	3
YCR020C-A	20	26	26	20
YCR020W-B	6	4	4	6
YCR021C	140	122	122	140
YCR022C	0	0	0	0
YCR023C	50	56	56	50
YCR024C	17	22	22	17
YCR024C-B	317	342	342	317
YCR024C-A	129	128	128	129
YCR025C	4	4	4	4
YCR026C	74	65	65	74
YCR027C	20	18	18	20
tQ(UUG)C	0	0	0	0
YCR028C	48	48	48	48
YCR028C-A	123	125	125	123
YCR030C	121	132	132	121
snR65	0	0	0	0
YCR031C	1681	1664	1664	1681
snR189	0	1	1	0
YCR032W	62	42	42	62
YCR033W	92	114	114	92
YCR034W	118	164	164	118
YCR035C	63	57	57	63
YCR036W	51	56	56	51
YCR037C	93	81	81	93
YCR038C	24	21	21	24
YCR038W-A	2	0	0	2
YCR039C	0	0	0	0
YCR040W	0	0	0	0
YCR041W	3	12	12	3
YCR042C	68	106	106	68
YCR043C	32	29	29	32
YCR044C	63	65	65	63
YCR045C	48	42	42	48
YCR045W-A	14	11	11	14
YCR046C	90	76	76	90
YCR047C	45	44	44	45
YCR047W-A	6	10	10	6
YCR049C	36	33	33	36
YCR048W	184	195	195	184
YCR050C	38	35	35	38
YCR051W	238	255	255	238
YCR052W	154	151	151	154
YCR053W	382	391	391	382
YCR054C	12	19	19	12
YCR057C	55	55	55	55
YCR059C	109	120	120	109
YCR060W	35	36	36	35
YCR061W	90	68	68	90
tS(CGA)C	0	0	0	0
YCR064C	1	4	4	1
YCR063W	9	7	7	9
YCR065W	30	24	24	30
YCR066W	10	17	17	10
YCR067C	115	111	111	115
YCR068W	64	58	58	64
YCR069W	177	172	172	177
YCR071C	18	29	29	18
YCR072C	17	12	12	17
YCR073C	98	70	70	98
YCR073W-A	143	135	135	143
YCR075C	35	32	32	35
YCR075W-A	36	31	31	36
YCR076C	43	42	42	43
YCR077C	197	229	229	197
YCR079W	87	59	59	87
YCR081W	10	24	24	10
YCR081C-A	2	6	6	2
YCR082W	64	60	60	64
YCR083W	34	42	42	34
YCR084C	241	257	257	241
YCR085W	2	0	0	2
YCR086W	10	11	11	10
YCR087W	94	94	94	94
YCR087C-A	93	94	94	93
YCR088W	206	278	278	206
YCR089W	54	59	59	54
YCR090C	57	43	43	57
YCR091W	42	71	71	42
YCR092C	47	32	32	47
YCR093W	97	127	127	97
YCR094W	30	38	38	30
YCR095C	15	11	11	15
YCR095W-A	1	0	0	1
YCR096C	0	1	1	0
YCR097W	9	13	13	9
YCR097W-A	0	0	0	0
tT(AGU)C	0	0	0	0
YCR098C	7	9	9	7
YCR099C	5	6	6	5
YCR100C	11	9	9	11
YCR101C	1	1	1	1
YCR102C	13	11	11	13
YCR102W-A	1	0	0	1
YCR104W	7	4	4	7
YCR105W	14	14	14	14
YCR106W	14	7	7	14
YCR107W	21	10	10	21
YCR108C	0	0	0	0
YDL248W	7	9	9	7
YDL247W-A	0	0	0	0
YDL247W	2	0	0	2
YDL246C	1	2	2	1
YDL245C	5	0	0	5
YDL244W	1	0	0	1
YDL243C	37	28	28	37
YDL242W	2	4	4	2
YDL241W	39	40	40	39
YDL240C-A	0	0	0	0
YDL240W	20	24	24	20
YDL239C	12	23	23	12
YDL238C	47	53	53	47
YDL237W	61	72	72	61
YDL236W	176	196	196	176
YDL235C	44	26	26	44
YDL234C	152	194	194	152
YDL233W	43	47	47	43
YDL232W	28	33	33	28
YDL231C	70	67	67	70
YDL230W	54	57	57	54
YDL229W	1943	2083	2083	1943
YDL228C	1300	1427	1427	1300
YDL227C	16	14	14	16
YDL226C	110	130	130	110
YDL225W	79	60	60	79
YDL224C	71	90	90	71
YDL223C	47	54	54	47
YDL222C	9	6	6	9
YDL221W	19	12	12	19
YDL220C	48	24	24	48
YDL219W	18	9	9	18
YDL218W	9	10	10	9
YDL217C	33	33	33	33
YDL216C	29	30	30	29
YDL215C	112	105	105	112
YDL214C	7	6	6	7
YDL213C	92	82	82	92
YDL212W	143	146	146	143
YDL211C	19	13	13	19
tG(GCC)D1	0	0	0	0
YDL210W	3	5	5	3
YDL209C	19	8	8	19
YDL208W	190	201	201	190
YDL207W	57	57	57	57
YDL206W	19	26	26	19
YDL205C	77	83	83	77
YDL204W	54	61	61	54
YDL203C	41	30	30	41
YDL202W	39	43	43	39
YDL201W	40	37	37	40
YDL200C	11	10	10	11
YDL199C	21	22	22	21
YDL198C	139	138	138	139
YDL197C	47	53	53	47
YDL196W	0	2	2	0
YDL195W	373	355	355	373
YDL194W	61	61	61	61
YDL193W	48	41	41	48
YDL192W	527	488	488	527
YDL191W	388	352	352	388
YDL190C	109	110	110	109
YDL189W	103	96	96	103
YDL188C	77	81	81	77
YDL187C	4	1	1	4
YDL186W	15	11	11	15
YDL185C-A	5	4	4	5
YDL185W	755	753	753	755
YDL184C	333	360	360	333
YDL183C	7	6	6	7
YDL182W	260	291	291	260
YDL181W	32	39	39	32
YDL180W	74	53	53	74
YDL179W	15	14	14	15
YDL178W	85	73	73	85
YDL177C	15	26	26	15
YDL176W	26	35	35	26
YDL175C	24	38	38	24
YDL174C	179	204	204	179
YDL173W	135	174	174	135
YDL172C	78	89	89	78
YDL171C	332	285	285	332
YDL170W	63	51	51	63
YDL169C	24	25	25	24
YDL168W	100	92	92	100
YDL167C	39	43	43	39
YDL166C	52	43	43	52
YDL165W	26	45	45	26
YDL164C	55	44	44	55
YDL163W	4	4	4	4
YDL162C	3	0	0	3
YDL161W	153	157	157	153
YDL160C-A	20	21	21	20
YDL160C	103	122	122	103
YDL159W-A	0	0	0	0
YDL159W	24	30	30	24
YDL159C-B	0	5	5	0
YDL158C	5	10	10	5
YDL157C	35	42	42	35
YDL156W	21	9	9	21
YDL155W	60	56	56	60
YDL154W	8	14	14	8
YDL153C	99	122	122	99
YDL152W	8	7	7	8
YDL151C	26	27	27	26
YDL150W	59	46	46	59
YDL149W	37	45	45	37
YDL148C	46	54	54	46
YDL147W	173	175	175	173
YDL146W	54	70	70	54
YDL145C	388	400	400	388
YDL144C	111	104	104	111
YDL143W	386	357	357	386
YDL142C	21	23	23	21
YDL141W	57	60	60	57
YDL140C	576	597	597	576
YDL139C	17	20	20	17
YDL138W	66	54	54	66
YDL137W	309	300	300	309
YDL136W	225	238	238	225
YDL135C	52	64	64	52
YDL134C	174	193	193	174
YDL133C-A	286	294	294	286
YDL133W	45	48	48	45
YDL132W	156	169	169	156
YDL131W	157	132	132	157
YDL130W-A	42	55	55	42
YDL130W	1147	1266	1266	1147
YDL129W	7	6	6	7
YDL128W	129	141	141	129
YDL127W	7	14	14	7
YDL126C	1323	1341	1341	1323
YDL125C	263	269	269	263
YDL124W	394	340	340	394
YDL123W	56	44	44	56
YDL122W	117	116	116	117
YDL121C	41	41	41	41
YDL120W	53	58	58	53
YDL119C	26	24	24	26
YDL118W	6	9	9	6
YDL117W	50	43	43	50
YDL116W	58	48	48	58
YDL115C	42	54	54	42
YDL114W-A	5	9	9	5
YDL114W	0	1	1	0
YDL113C	66	46	46	66
YDL112W	57	59	59	57
YDL111C	46	51	51	46
YDL110C	235	293	293	235
YDL109C	22	17	17	22
YDL108W	31	36	36	31
YDL107W	19	19	19	19
YDL106C	56	67	67	56
YDL105W	12	15	15	12
YDL104C	17	17	17	17
