Geneid;ERR458493;ERR458494;;;;
YCL058W-A;11;10;;;;
YCL057C-A;140;118;;;;
YCL057W;167;202;;;;
YCL056C;17;15;;;;
YCL055W;20;33;;;;
YCL054W;48;50;;;;
YCL052C;90;91;;;;
YCL051W;144;109;;;;
YCL050C;233;240;;;;
YCL049C;96;85;;;;
YCL048W-A;1;1;;;;
YCL048W;4;1;;;;
YCL047C;15;18;;;;
YCL045C;201;202;;;;
YCL046W;17;15;;;;
YCL044C;46;50;;;;
YCL043C;1249;1270;;;;
YCL041C;63;55;;;;
YCL042W;240;212;;;;
YCL040W;3371;3305;;;;
YCL039W;127;104;;;;
YCL038C;65;61;;;;
YCL037C;4;5;;;;
YCL036W;6;12;;;;
YCL035C;130;130;;;;
YCL034W;202;181;;;;
YCL033C;89;95;;;;
YCL032W;72;76;;;;
YCL031C;50;73;;;;
YCL030C;819;823;;;;
YCL029C;41;39;;;;
YCL028W;185;172;;;;
YCL027W;7;9;;;;
YCL026C-B;21;15;;;;
YCL026C-A;4;4;;;;
YCL025C;404;368;;;;
YCL023C;0;0;;;;
YCL024W;20;19;;;;
YCL022C;3;4;;;;
tE(UUC)C;0;0;;;;
YCL021W-A;4;7;;;;
YCL019W;0;1;;;;
YCL020W;0;1;;;;
YCL019W;0;0;;;;
tL(CAA)C;0;0;;;;
tL(CAA)C;0;0;;;;
YCL018W;0;0;;;;
YCL017C;124;142;;;;
YCL016C;24;24;;;;
YCL014W;22;24;;;;
YCL012C;19;19;;;;
YCL012C;5;6;;;;
YCL011C;274;308;;;;
YCL010C;70;67;;;;
YCL009C;730;664;;;;
YCL008C;134;111;;;;
YCL007C;118;108;;;;
YCL005W-A;6;12;;;;
YCL005W-A;55;56;;;;
YCL005W-A;126;105;;;;
snR43;10;4;;;;
YCL005W;68;51;;;;
YCL004W;20;20;;;;
YCL002C;27;35;;;;
YCL002C;1;0;;;;
YCL001W;69;51;;;;
YCL001W-A;1;1;;;;
YCL001W-B;0;2;;;;
YCR001W;2;3;;;;
YCR002C;73;73;;;;
YCR003W;30;33;;;;
YCR004C;292;269;;;;
YCR005C;67;48;;;;
YCR006C;5;3;;;;
tP(AGG)C;0;1;;;;
YCR007C;21;16;;;;
tN(GUU)C;0;0;;;;
YCR008W;82;102;;;;
YCR009C;141;153;;;;
YCR010C;10;13;;;;
YCR011C;201;164;;;;
YCR012W;12415;12216;;;;
YCR013C;7848;7702;;;;
YCR014C;19;21;;;;
YCR015C;15;7;;;;
snR33;10;11;;;;
tG(GCC)C;0;0;;;;
YCR016W;21;33;;;;
YCR017C;258;251;;;;
YCR018C;21;20;;;;
tM(CAU)C;0;0;;;;
tK(CUU)C;0;0;;;;
YCR018C-A;0;0;;;;
YCR019W;20;24;;;;
YCR020C;6;3;;;;
YCR020C-A;26;20;;;;
YCR020W-B;4;6;;;;
YCR021C;122;140;;;;
YCR022C;0;0;;;;
YCR023C;56;50;;;;
YCR024C;22;17;;;;
YCR024C-B;342;317;;;;
YCR024C-A;128;129;;;;
YCR025C;4;4;;;;
YCR026C;65;74;;;;
YCR027C;18;20;;;;
tQ(UUG)C;0;0;;;;
YCR028C;48;48;;;;
YCR028C-A;43;57;;;;
YCR028C-A;82;66;;;;
YCR030C;132;121;;;;
snR65;0;0;;;;
YCR031C;1519;1519;;;;
YCR031C;145;162;;;;
snR189;1;0;;;;
YCR032W;42;62;;;;
YCR033W;114;92;;;;
YCR034W;164;118;;;;
YCR035C;57;63;;;;
YCR036W;56;51;;;;
YCR037C;81;93;;;;
YCR038C;21;24;;;;
YCR038W-A;0;2;;;;
YCR039C;0;0;;;;
YCR040W;0;0;;;;
YCR041W;12;3;;;;
YCR042C;106;68;;;;
YCR043C;29;32;;;;
YCR044C;65;63;;;;
YCR045C;42;48;;;;
YCR045W-A;11;14;;;;
YCR046C;76;90;;;;
YCR047C;44;45;;;;
YCR047W-A;10;6;;;;
YCR049C;33;36;;;;
YCR048W;195;184;;;;
YCR050C;35;38;;;;
YCR051W;255;238;;;;
YCR052W;151;154;;;;
YCR053W;391;382;;;;
YCR054C;19;12;;;;
YCR057C;55;55;;;;
YCR059C;120;109;;;;
YCR060W;36;35;;;;
YCR061W;68;90;;;;
tS(CGA)C;0;0;;;;
tS(CGA)C;0;0;;;;
YCR064C;4;1;;;;
YCR063W;7;9;;;;
YCR065W;24;30;;;;
YCR066W;17;10;;;;
YCR067C;111;115;;;;
YCR068W;58;64;;;;
YCR069W;172;177;;;;
YCR071C;29;18;;;;
YCR072C;12;17;;;;
YCR073C;70;98;;;;
YCR073W-A;135;143;;;;
YCR075C;32;35;;;;
YCR075W-A;31;36;;;;
YCR076C;42;43;;;;
YCR077C;229;197;;;;
YCR079W;59;87;;;;
YCR081W;24;10;;;;
YCR081C-A;6;2;;;;
YCR082W;60;64;;;;
YCR083W;42;34;;;;
YCR084C;257;241;;;;
YCR085W;0;2;;;;
YCR086W;11;10;;;;
YCR087W;94;94;;;;
YCR087C-A;94;93;;;;
YCR088W;278;206;;;;
YCR089W;59;54;;;;
YCR090C;43;57;;;;
YCR091W;71;42;;;;
YCR092C;32;47;;;;
YCR093W;127;97;;;;
YCR094W;38;30;;;;
YCR095C;11;15;;;;
YCR095W-A;0;1;;;;
YCR096C;1;0;;;;
YCR097W;3;1;;;;
YCR097W;7;6;;;;
YCR097W;3;2;;;;
YCR097W-A;0;0;;;;
tT(AGU)C;0;0;;;;
YCR098C;9;7;;;;
YCR099C;6;5;;;;
YCR100C;9;11;;;;
YCR101C;1;1;;;;
YCR102C;11;13;;;;
YCR102W-A;0;1;;;;
YCR104W;4;7;;;;
YCR105W;14;14;;;;
YCR106W;7;14;;;;
YCR107W;10;21;;;;
YCR108C;0;0;;;;
YDL248W;9;7;;;;
YDL247W-A;0;0;;;;
YDL247W;0;2;;;;
YDL246C;2;1;;;;
YDL245C;0;5;;;;
YDL244W;0;1;;;;
YDL243C;28;37;;;;
YDL242W;4;2;;;;
YDL241W;40;39;;;;
YDL240C-A;0;0;;;;
YDL240W;24;20;;;;
YDL239C;23;12;;;;
YDL238C;53;47;;;;
YDL237W;72;61;;;;
YDL236W;196;176;;;;
YDL235C;26;44;;;;
YDL234C;194;152;;;;
YDL233W;47;43;;;;
YDL232W;33;28;;;;
YDL231C;67;70;;;;
YDL230W;57;54;;;;
YDL229W;2083;1943;;;;
YDL228C;1427;1300;;;;
YDL227C;14;16;;;;
YDL226C;130;110;;;;
YDL225W;60;79;;;;
YDL224C;90;71;;;;
YDL223C;54;47;;;;
YDL222C;6;9;;;;
YDL221W;12;19;;;;
YDL220C;24;48;;;;
YDL219W;2;2;;;;
YDL219W;7;16;;;;
YDL218W;10;9;;;;
YDL217C;33;33;;;;
YDL216C;30;29;;;;
YDL215C;105;112;;;;
YDL214C;6;7;;;;
YDL213C;82;92;;;;
YDL212W;146;143;;;;
YDL211C;13;19;;;;
tG(GCC)D1;0;0;;;;
YDL210W;5;3;;;;
YDL209C;8;19;;;;
YDL208W;201;190;;;;
YDL207W;57;57;;;;
YDL206W;26;19;;;;
YDL205C;83;77;;;;
YDL204W;61;54;;;;
YDL203C;30;41;;;;
YDL202W;43;39;;;;
YDL201W;37;40;;;;
YDL200C;10;11;;;;
YDL199C;22;21;;;;
YDL198C;138;139;;;;
YDL197C;53;47;;;;
YDL196W;2;0;;;;
YDL195W;355;373;;;;
YDL194W;61;61;;;;
YDL193W;41;48;;;;
YDL192W;488;527;;;;
YDL191W;33;32;;;;
YDL191W;319;356;;;;
YDL190C;110;109;;;;
YDL189W;96;103;;;;
YDL188C;81;77;;;;
YDL187C;1;4;;;;
YDL186W;11;15;;;;
YDL185C-A;4;5;;;;
YDL185W;753;755;;;;
YDL184C;360;333;;;;
YDL183C;6;7;;;;
YDL182W;291;260;;;;
YDL181W;39;32;;;;
YDL180W;53;74;;;;
YDL179W;14;15;;;;
YDL178W;73;85;;;;
YDL177C;26;15;;;;
YDL176W;35;26;;;;
YDL175C;38;24;;;;
YDL174C;204;179;;;;
YDL173W;174;135;;;;
YDL172C;89;78;;;;
YDL171C;285;332;;;;
YDL170W;51;63;;;;
YDL169C;25;24;;;;
YDL168W;92;100;;;;
